text,model,configuration,deck,p_habit,seed,n_tokens,ciphertext_sha256,hurst,crossover_n,n_bits,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs,distance_eva_basic
habit_p0p3_deck78_seed02,habit,p=0.3,78,0.3,2,20968,7f3593eafccd3068f6597aec81fa87fc735ba825d90a6b317ec7f37d259a9a73,0.587,4222,500000,5.272953846,1.614488591,0.03167740301,5.44063565,1.608967324,0.0880386641,-0.0327141568,1.022063113,0.5463510103,2.912984924,1.017636053,0.5572747503,2.86664047,7.42,1.338,1.863041963,0.552758117,-1.047611241,1.855418703,0.5617505523,-1.046431878,0.1329546906,0.05273859689,140.28,8.104591419,0.4135666204,0.1726349277,4.755768045,1.210583174,0.3472512253,0.7887846261,151.94,0.001446153846,0,18.13,0.06633413051,0.005971050761,282.35,1.504624379,0.4026356384,7.172191726,0.01583653846,5.057507869
habit_p0p3_deck78_seed03,habit,p=0.3,78,0.3,3,20941,28bfc83307d13aa61abf1a6ef2d3b14c5ea2988f5177cafccf1898519243b9e3,0.591,2797,500000,5.280719403,1.60190867,0.03627412809,5.425992503,1.618929116,0.08671689391,-0.03964265299,1.025193886,0.5506476926,2.966902649,1.009393809,0.5368354268,2.903303018,6.99,1.3284,1.858408293,0.5557789719,-1.031203233,1.866306927,0.5498073769,-1.052253653,0.1311752322,0.05286055035,138.48,8.05873507,0.4177513601,0.1668857356,4.092064805,1.199979361,0.3532654426,0.8447200291,151.66,0.00155,5e-05,18.05,0.06651971927,0.005739628115,284.24,1.508065441,0.4027776147,6.676812629,0.01504900498,5.057412456
habit_p0p3_deck78_seed04,habit,p=0.3,78,0.3,4,20979,e57af54c23825a4d9945dc50e8cbbcb36878969af743cfc5bf7adfa523523242,0.575,2797,500000,5.286741148,1.655280021,0.04195937187,5.474727834,1.643472336,0.1054914335,-0.03681356247,1.031342575,0.5593050423,2.907373556,1.022746527,0.5569772498,2.699862094,7.39,1.2956,1.865985681,0.5478060132,-1.057271365,1.859290968,0.5570167972,-1.053003301,0.1312951369,0.05278122344,138.92,8.141358988,0.4149024125,0.1698967098,4.528932273,1.197727134,0.3519174614,0.8146443618,151.38,0.002,0,18.2,0.06489751866,0.005765976215,282.11,1.514450635,0.403322382,8.360565563,0.01954569378,5.058385408
habit_p0p3_deck78_seed05,habit,p=0.3,78,0.3,5,20929,9ffc5b57e968ce8ab055a180f540ca74fd0a68a72a6a51f38d3434b3f1ee0357,0.616,21937,500000,5.279020096,1.641049273,0.02604682228,5.448317176,1.635805812,0.1041834948,-0.03857873555,1.024880333,0.5481170885,2.832701533,1.019529612,0.5489032001,2.580156653,7.19,1.3708,1.856909305,0.5572927865,-1.03272248,1.858938511,0.5510941148,-1.012969562,0.1303933497,0.05252683298,137.75,8.05244926,0.4107552876,0.1732962473,4.439887404,1.195550826,0.349792199,0.8573963471,150.74,0.00164784689,0,18.27,0.06733167159,0.006336578188,284.45,1.505662992,0.4023495044,9.375688197,0.01474138756,5.209026922
habit_p0p3_deck78_seed06,habit,p=0.3,78,0.3,6,20982,56c7cdf652797d24e35db9cb74f6498b6840c34284e6e07ab533742536b01767,0.576,1227,500000,5.24275099,1.625398263,0.01648008133,5.401376362,1.627663519,0.08067599697,-0.0384242112,1.026297915,0.5544243658,2.922936215,1.014407871,0.5578606044,2.746074559,7.53,1.4652,1.850231461,0.5653324232,-1.027079647,1.849213668,0.5683280981,-1.038960128,0.1310389494,0.05254652993,137.44,8.138785058,0.4137684286,0.1687093542,4.511006947,1.204194397,0.3532839401,0.8212145321,150.67,0.00149950495,0,18.19,0.06668210769,0.005557271028,279.35,1.506969668,0.4021343529,7.512125742,0.01609158416,5.176539751
habit_p0p3_deck78_seed07,habit,p=0.3,78,0.3,7,21010,fa80efee5f69ad50c0b206f65412eedcae9557a5042e3f68b02ee6738e5b5d38,0.569,6375,500000,5.3172,1.620252661,0.002862325398,5.457294575,1.637558438,0.07116546798,-0.03848892269,1.021372923,0.5484907156,2.965558397,1.013085351,0.5660056428,2.976324479,7.15,1.4288,1.851290877,0.5637841861,-1.045461655,1.848121275,0.5644091222,-1.014074424,0.1308512622,0.05264030855,139.17,8.148108674,0.4142882682,0.1697347763,4.559348386,1.208412025,0.3466662934,0.8402474942,150.57,0.0018,0,18.22,0.06760855124,0.005817096955,283.76,1.495074483,0.4000266353,8.780259419,0.01775,5.072631115
habit_p0p3_deck78_seed08,habit,p=0.3,78,0.3,8,21053,d8cc72d108aed4c2ffad80cae09c1aeffec3e33fe625531e7ceff83c9b7087c3,0.589,4222,500000,5.309432759,1.671589799,0.1216045752,5.489483457,1.679351921,0.1701690732,-0.04120742676,1.033905481,0.5607167706,2.912083582,1.013054355,0.5503028478,2.818648279,7.16,1.2452,1.863793022,0.5469548115,-1.02639488,1.862825929,0.5470837715,-1.021157626,0.1291849764,0.05278023005,137.19,8.110230842,0.4181768536,0.170888614,4.66941296,1.194172619,0.3489958144,0.8816114553,151.32,0.0018,0,18.25,0.06585439748,0.006243207288,284.45,1.509016,0.4029911577,7.958332019,0.01259852217,4.798395084
habit_p0p3_deck78_seed09,habit,p=0.3,78,0.3,9,20958,ae5a7cc2b368d3876ef779e0a3a02aa431880a9d2220ed2eae77af83a5defe9a,0.592,2797,500000,5.240236538,1.640256098,0.02453682965,5.407492631,1.637768794,0.0781879325,-0.0343710906,1.034045248,0.5689686035,2.937648219,1.014411968,0.5641493556,2.823792511,7.07,1.3188,1.862361361,0.5530180831,-1.055339422,1.863740864,0.5546782379,-1.054745958,0.1313628725,0.05315517952,137.78,8.087480714,0.4160289335,0.170645075,4.600983145,1.197985953,0.3474708576,0.8301570085,152.29,0.002,0,18.12,0.06539039137,0.005437662986,280.77,1.510964587,0.403077057,8.964600673,0.01645,5.042640759
habit_p0p3_deck78_seed10,habit,p=0.3,78,0.3,10,21004,57a5c250da9288e76aa3bc9242e20e492735b1fa9be451c1c18cf9767b29ecd5,0.565,4222,500000,5.260676471,1.63082659,0.02621496694,5.431619076,1.636885074,0.09064497259,-0.03123212644,1.031080693,0.5733909314,3.261624951,1.014286821,0.5960914837,3.307505766,7.12,1.388,1.856709607,0.555537402,-1.020549346,1.861908484,0.5518160593,-1.035885342,0.1304857289,0.05279889206,137.29,8.10157125,0.41270878,0.1739345286,4.517169097,1.206498586,0.3431212729,0.8065762587,150.81,0.001799019608,0,18.17,0.06440222047,0.005109666243,281.73,1.507200685,0.4032509121,8.880513829,0.01958921569,4.740230332
habit_p0p5_deck52_seed01,habit,p=0.5,52,0.5,1,20936,7dd0ebc4d8d88b04025f9ce2709043dc928ec791d341b98e76e366fecb24b6d1,0.624,2797,500000,5.272352913,1.630764018,0.05598412117,5.440685561,1.649841147,0.101589383,-0.05804122271,1.02413033,0.5570746588,2.902569036,1.013191884,0.5505731302,2.687888837,9.4,1.7144,1.778347192,0.6122815009,-0.8410390636,1.78066909,0.615628806,-0.8624669096,0.1330348626,0.05324799378,140.34,8.663483515,0.4161292833,0.1683665148,4.550764061,1.219273359,0.3550543566,0.7798731023,142.3,0.002248543689,0,18.09,0.06761024627,0.005822878266,266.38,1.445970146,0.3887884614,5.530270491,0.02483834951,5.526423547
