text,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs
52_01_10_word_lines,5.267925609756097,1.637468269619832,0.09441322104544878,5.427354191240507,1.6572363289943048,0.1389697539352199,-0.0334940252600715,1.033391430755001,0.569311699487241,3.1450383066253864,1.007142980305367,0.5832336932769824,3.274193043061497,6.62,1.1532,1.8647396843859938,0.5478346680163214,-1.031265173498885,1.8618890831677968,0.5494998583993147,-1.0318828368560813,0.13041083494763137,0.05306308830896131,137.47,8.106679327109877,0.42140459641635314,0.1649963792684714,4.755083419077739,1.2022123223770333,0.34590707380596286,0.8691939640080758,151.73,0.00135,0.0,18.04,0.06831277912637938,0.006296658559578587,281.82,1.5024021383891397,0.40213065867377423,10.71843669454449,0.012947560975609756
52_02_10_word_lines,5.250600970873786,1.6363806752349443,0.05895298358710689,5.3944598995372655,1.6509901060191898,0.12458643657660781,-0.029642963645838682,1.03577462852955,0.5719305010085353,3.0884389762457056,1.009252799191074,0.563285814069158,2.9563055810519883,6.6,1.1232,1.8699215608140092,0.5428739760256258,-1.0587856452367723,1.8719862348620093,0.5392973338207521,-1.0391528374620045,0.12998594478916234,0.053254462860032416,136.61,7.98798192355461,0.41059030521458134,0.17183025855507203,4.604535391061052,1.2056185284885335,0.35030428099075017,0.8765980408373117,152.37,0.0016,0.0,18.1,0.06786263803864895,0.006568737945680391,284.39,1.5117088019643108,0.4041233996333564,10.174625908235955,0.014244174757281554
52_03_10_word_lines,5.266449507389162,1.6318582390200755,0.07895443995266732,5.41129497736659,1.656483757409107,0.12503268030764228,-0.026890219441448305,1.031727201354642,0.5668351734354483,3.181787787475399,1.0088485768969881,0.5524482866857248,2.8917700442183527,6.42,1.0408,1.8757028744722195,0.5338916424452275,-1.0455224146466349,1.8736403476929115,0.5348856871600355,-1.0449326170399802,0.13012490816368794,0.05288558650971121,137.13,8.081667486186166,0.4119075920757282,0.1700717854331829,4.7428043196209355,1.2102496461316188,0.34820421432881016,0.8621916882976852,152.84,0.00185,0.0,18.17,0.06768359159397229,0.006077246339744698,282.65,1.5043295313771756,0.4034421829175867,9.948386360992115,0.012398522167487686
52_04_10_word_lines,5.2433211538461535,1.6221301374420123,0.06810442840066383,5.386932687933962,1.639506527096263,0.12177496143190153,-0.04443569839302351,1.0335289798977993,0.5670765947025471,3.1268580177449983,1.0118335776141274,0.5659849108599585,2.926731261845668,6.55,1.0984,1.8758157557588648,0.5343368211944743,-1.0456700172504503,1.8630760081821465,0.5447144963212016,-1.015558173617882,0.12893547177281833,0.053088558916829676,135.34,7.9562888311309115,0.41620106454315137,0.1760226266107481,4.728990770238237,1.204075602743318,0.3451661332377664,0.9065504949230594,152.25,0.00135,0.0,18.15,0.06688956690583026,0.005983651416022862,285.13,1.5136709362388212,0.40478264157148713,9.394254538495952,0.01185
52_05_10_word_lines,5.25535,1.618654349976977,0.03055182441773583,5.393301831006256,1.631415232184677,0.09650157252954772,-0.025154531312887453,1.0291400601407639,0.56192786049736,3.1113926302954393,1.009338942030453,0.5415876496054846,2.858438308609425,6.44,1.1292,1.8800768226485904,0.5345899697664092,-1.099307036950055,1.8842050754383686,0.5277181429594843,-1.093238377168884,0.1306259023020135,0.052989465365295446,137.3,7.998328155132008,0.4157888643732345,0.17036183049482986,4.697503895526616,1.206202789967861,0.35238959295080424,0.8753316545052565,153.91,0.00125,0.0,18.16,0.0666344580710774,0.005924567513028926,284.35,1.5153335568091424,0.4044818516569602,9.665303313972563,0.01445
52_06_10_word_lines,5.273225598086125,1.6002080259442442,0.0322893678771238,5.3934211397533005,1.6199953451710623,0.09225145900561883,-0.033972130529319584,1.0301358289155165,0.5565858807509823,3.0402601017838355,1.0032424519794705,0.5356644514410411,2.7109633909079762,6.5,1.1932,1.892192874365138,0.5293218129490729,-1.126280098875156,1.886710436042162,0.5325771564448439,-1.1082834524763256,0.12882172097431438,0.052865820693326834,136,8.090596712772207,0.4125260350861713,0.1740306859809818,5.204484347212741,1.2043387325499941,0.35603710655907,0.8806317045020778,154.54,0.00095,0.0,18.25,0.06765101726297974,0.006469173308996485,282.91,1.5099078209216357,0.40465239159802135,9.16383991184644,0.009341387559808612
52_07_10_word_lines,5.2711500000000004,1.6006448784181118,0.03995368936711758,5.397801381127132,1.624848482388062,0.08878375536957686,-0.019214466067350406,1.027869656656639,0.557761224823687,3.017747671016083,1.003296394708248,0.5293231612496072,2.6656644608879603,6.63,1.2232,1.879743952757945,0.5369427228416083,-1.089501390988288,1.8763098331729742,0.5418758243767103,-1.0988284614947703,0.13085848054814936,0.052905055041476155,137.99,8.050644320696422,0.416793591524246,0.16933047007807175,4.806995121444767,1.2063517870069838,0.35167777544336115,0.81801644294533,153.25,0.0021,0.0,18.15,0.06886961777235957,0.006262990461037558,283.67,1.5089356477766025,0.40355695886160153,8.19339539833422,0.0137
52_08_10_word_lines,5.255107692307693,1.5941618672200075,0.026012820590904876,5.390386612840949,1.6158901155215604,0.07021993745057512,-0.040409579050299786,1.0281948171254698,0.5573486395045912,2.947834557259337,1.0025333189796566,0.5452310641549777,2.9076091214219084,6.11,1.068,1.8756515590105463,0.5302438596224713,-1.0256838862066453,1.8752153846642328,0.5346211488802902,-1.0508555717403933,0.1298460666713923,0.05269864113448528,136.59,8.061170342787863,0.4175222113458222,0.17391726163413515,4.5976637290846885,1.2069570997378511,0.35348307254024525,0.831389611996628,152.72,0.0023,0.0,18.21,0.06657090969214627,0.005816597351497689,282.49,1.5091182732405488,0.40392382948712957,11.189938152017797,0.013434615384615385
52_09_10_word_lines,5.252482926829268,1.6221007677909558,0.023815610654440208,5.388940640410957,1.6348154059706694,0.08725956385546886,-0.03729571752588219,1.0295652771805135,0.563707586233487,3.151960712613139,1.0074480923223341,0.5594235290745683,2.9361244893907847,6.44,1.1048,1.8731029871030218,0.5404416209416772,-1.0647465950891264,1.8742447010242036,0.5354301988382103,-1.0515622296528815,0.1292310520152829,0.05286949534103497,135.82,8.023887260757851,0.4167410104563749,0.17363889952468972,5.1884538902032995,1.2075696872890402,0.35151908692465844,0.8773351981176551,152.79,0.00185,0.0,18.33,0.06736731666567208,0.005932797291865514,283.44,1.5059660284140262,0.40341842869256817,9.599808072989852,0.01125
52_10_10_word_lines,5.279567073170732,1.6172938269117076,0.08178840092652417,5.428420933023013,1.6422565111876142,0.12079756050117856,-0.052749951108136184,1.0264247724011748,0.5528469864158766,3.000532446921176,1.0111633500793602,0.5789279729632095,3.2107362676718156,6.42,1.0544,1.8810103002006242,0.5266130583795362,-1.0503640256625788,1.8740371995189475,0.5344343647232229,-1.0425258501775037,0.1303912913587127,0.05298228966960742,137.77,8.023529034883753,0.41252927977717735,0.1711667709359403,4.843063211108607,1.210214862497854,0.3510900903237583,0.8557362720819671,153.17,0.00125,0.0,18.11,0.06719076089969339,0.005950639628600465,285.26,1.5060020238328078,0.40325234516310227,10.284753363815858,0.013397560975609756
76_07_10_word_lines,5.2643281094527365,1.6201705052477013,0.06916942636785406,5.395820167803083,1.6382832608901114,0.1371881077202677,-0.032285061950764825,1.0282791678608891,0.5479334806276486,2.872684934354813,1.01173192184372,0.5536617871670931,2.849774392476224,6.28,0.9828,1.8878178060087116,0.5247211673015602,-1.0760450053094086,1.8874403372657933,0.5259562633097997,-1.0743260284879115,0.12923744591232053,0.05286930452114294,136.12,7.919842632793329,0.4169999267027688,0.17613016641780577,4.790603777475674,1.2032947141703378,0.34534903909152237,0.8670045171744676,154.22,0.001349502487562189,0.0,18.25,0.06720858433160698,0.0056793849412647415,287.39,1.520833011066872,0.4061642854788797,11.018174116584163,0.012948507462686568
78_01_10_word_lines,5.299785990338164,1.6096118559213524,0.026749238632732562,5.430359132799401,1.63139740614003,0.08270164898019841,-0.026963089319774446,1.0296731872649194,0.5577878078401323,3.014097389902153,1.0051331723457968,0.5377090071594361,2.85530195054012,6.28,1.0728,1.8938917409434897,0.5208218421566269,-1.0960938947404517,1.8895558848488312,0.5273474509015805,-1.110382188962195,0.12888066077918797,0.05285634746213534,136.74,7.995287088993572,0.4131317326364656,0.16442087165641459,4.8106977678235925,1.2089412892649327,0.34934310366985555,0.8507982120152995,154.74,0.001394927536231884,5e-05,18.16,0.06612820347275185,0.0058798646741970795,287.52,1.5191588991130793,0.4055029502110056,10.293409232492486,0.010894927536231884
78_02_10_word_lines,5.2591460591133,1.6207690963932344,0.03523534022123994,5.3984996997827395,1.6337219215725547,0.0816664722223278,-0.03560154169543027,1.0282606205110498,0.5536945238440254,2.9051887257263993,1.013488303251357,0.5486242145221565,2.7141564904952147,6.02,1.0928,1.8907547870731642,0.5266120368811654,-1.0994961609051959,1.8856972028248409,0.5269606502682394,-1.061600460947854,0.12883046305723656,0.05296345429002095,135.54,7.980006483410188,0.4165386838886301,0.17194525237782915,4.8106843851539365,1.2044174298400492,0.35065760554741393,0.8625726042771483,154.81,0.0013992610837438423,0.0,18.23,0.06457942036081812,0.0054033553871558684,285.19,1.5203145069152493,0.40733961721837614,9.30927101565294,0.012091133004926109
78_03_10_word_lines,5.270314285714286,1.613689140248926,0.023834625150258023,5.4067765314605785,1.6307768556929552,0.08843039053173803,-0.04587780830180547,1.0282014279716096,0.5564578383933044,2.9720683597687576,1.0078230977432183,0.5641613115263944,2.971205601513905,6.12,1.0676,1.8762336440307907,0.5323674087794137,-1.0510064776011685,1.871939189072531,0.5377472035887966,-1.0404519896924926,0.1313576401557874,0.052896706889741914,138.56,7.97992311476923,0.4090469616872157,0.17676543948525938,4.929153706258384,1.207749077330783,0.35399601386101065,0.8040901460852957,152.84,0.0019485221674876848,0.0,18.32,0.06676188488082752,0.005654771055236495,285.97,1.5093246318832332,0.4042547569083809,10.606917154101557,0.009648522167487685
78_04_10_word_lines,5.282273383084577,1.619644872099681,0.04828398621497383,5.427017344372426,1.6346586353104957,0.09853832021531567,-0.0336227487775614,1.0293892187940277,0.5542920888033505,2.8276337487392853,1.008549237578928,0.5488565131627902,2.862380651333664,6.4,1.1332,1.8934540747341062,0.5238416535383993,-1.1194017591301515,1.8976516517887887,0.5231770452517401,-1.1431772978134624,0.12883107345311504,0.052804072426470845,136.14,7.965813014633219,0.41646352718292073,0.16960737447874719,4.559204723420188,1.201720524901691,0.3507381662672275,0.8271266521663484,154.65,0.0013,5e-05,18.21,0.06701797022954037,0.005994775039757225,287.36,1.520968495545548,0.4067447957850739,10.247895278101447,0.01109950248756219
78_05_10_word_lines,5.265765174129354,1.6234364851635008,0.05011953293603299,5.395672570074908,1.6374255140716683,0.11915074587234573,-0.028185829462694736,1.0324179832803486,0.5574629248420082,2.9464839130218023,1.0060489993112745,0.5481388252406313,2.8269471526674894,5.96,1.1088,1.8939006132101917,0.5179706940906655,-1.0999343225369393,1.8905402248423941,0.5240340555458133,-1.0892981839217621,0.13002986196400415,0.05292176885105228,136.95,7.900599118649315,0.41746623323302556,0.1770800377592293,4.850647815069136,1.205846104303898,0.34868271187677896,0.823206460600816,154.6,0.0017497512437810946,0.0,18.28,0.06607318259806289,0.006252869317114553,288.08,1.5236457456487378,0.40707929731530684,11.382023448782306,0.013349751243781094
78_06_10_word_lines,5.28189976076555,1.6293833442769874,0.04494542100658444,5.427603312326259,1.6398287900456014,0.11697682695588775,-0.033032786063959124,1.0232744092537611,0.5516822673592872,3.079146403986926,1.019573663027775,0.5703143363563672,3.023852514441641,6.36,1.0928,1.8868894703484076,0.5261682246665319,-1.0678988628030552,1.8826071973375842,0.5305320048437845,-1.0634746316855632,0.1287822058708372,0.05268401647236594,136.16,8.011070664180139,0.4139195172320586,0.1721097309678227,4.92040801463352,1.203067125399636,0.3457297486359365,0.8585146780886574,154.12,0.00115,0.0,18.26,0.0670840922988308,0.0061604524658960425,285.82,1.516807597989307,0.4054058453425527,9.951572767400268,0.010145693779904307
78_08_10_word_lines,5.282536538461539,1.627071327937007,0.006056280088855886,5.4224587944612805,1.6346912020970126,0.06322644362039892,-0.03253747837081712,1.032134624644518,0.5583888392361253,3.0109259968925364,1.0116507385462923,0.5550373050410499,3.0589074769331486,6.29,1.1808,1.9072461565892789,0.5107875321268265,-1.1365054709181501,1.8993842218232142,0.5219709839129274,-1.1430524883843889,0.12986681020832563,0.0527610406775189,137.27,7.9752441592792245,0.4147863501007676,0.17350939140806962,4.734796528727166,1.1962672630636582,0.3456274642375497,0.8985200647417977,155.99,0.00165,0.0,18.25,0.06717561244656764,0.0062227778197082705,286.92,1.5240615316603257,0.40642867811063305,9.57470351601297,0.010450000000000001
78_09_10_word_lines,5.266454679802956,1.6038610680189056,0.03967708257607015,5.396001640293731,1.6207424830243762,0.09462033517783876,-0.03880863145644366,1.0250273534283605,0.5470947409816032,2.962113896352009,1.0081187176317137,0.5411675263521007,2.799041889709327,5.85,0.9788,1.9004982117885851,0.5094005777963956,-1.0883363777459454,1.8918546613458886,0.51916603234798,-1.0811017206825624,0.12865220417667325,0.05289437737940779,135.56,7.933390945971283,0.41665025913428805,0.16531843223410292,4.47476952124644,1.2022923096407563,0.35612270916367716,0.8392399312203199,154.79,0.0014492610837438425,0.0,18.09,0.06548662169475199,0.005184357383584273,287.28,1.5252162304059762,0.4068180201072444,10.35428409857279,0.012699261083743843
78_10_10_word_lines,5.273967821782178,1.626679378470623,0.019501713612036047,5.418075710360327,1.6396259232968864,0.06364905000035513,-0.03754034880895726,1.0299612667360472,0.5469122251515718,2.6862916654525204,1.0135432489095708,0.555456549365271,2.7624002646768555,6.2,1.096,1.8875147017650518,0.5289391312584967,-1.1101026898987476,1.892708466159993,0.5188617894515669,-1.0759998320949702,0.12772620594392117,0.05279205540196322,134.79,7.988261230425206,0.41411049986537685,0.1729021862738086,5.339634530139402,1.21178747785007,0.3479601280110487,0.8180289868034132,154.37,0.00135,0.0,18.35,0.06577583175261024,0.005662423226071626,285.79,1.5182426747975817,0.40579317301469864,9.689200820272989,0.014447029702970297
habit_p0p0_deck52_seed01,5.269863592233009,1.6399167137554964,0.06981970389445029,5.4129745422825435,1.6533105451689845,0.11930252271530534,-0.03138142829771153,1.0344003018344505,0.565649771757617,3.048498670413507,1.013735132892783,0.5702287949409057,2.952906257532113,6.56,1.1984,1.8941838961915356,0.5272848598624358,-1.1413745936797965,1.8956923461712343,0.528400875730005,-1.1520859384923543,0.1299026938643105,0.05261146052140147,137.03,7.993276005276583,0.416121964616434,0.17509398521811206,4.774236728543094,1.1993701497585756,0.341846101409173,0.8719016029069303,155.73,0.00105,0.0,18.29,0.06707222769651053,0.005892501045430697,285.59,1.5227571769961965,0.40536604468854504,9.457173508263434,0.013488349514563108
habit_p0p3_deck52_seed01,5.293408252427184,1.6377978501662505,0.05980055797114554,5.4466945648907235,1.6552502196033936,0.1280566894563424,-0.05267920439480781,1.0336034706610158,0.5768519616980021,3.2925470281594817,1.0170266545190454,0.5759388287091594,3.0524029400511505,7.78,1.3608,1.8503660380237303,0.5638652939138928,-1.0361386569791682,1.84577178589485,0.5700013070354399,-1.0292016554566947,0.12937135567436545,0.05278512545296329,136.98,8.104934537048496,0.4137833065707075,0.1697079105105243,4.543508794074393,1.1954744384769824,0.34346940422127054,0.9161675094005239,150.19,0.002298543689320388,0.0,18.16,0.06623608625829246,0.00588027553119094,283.85,1.5068846445095436,0.4008587990681235,7.318154005905901,0.017736893203883497
habit_p0p5_deck52_seed01,5.2723529126213595,1.6307640179546168,0.05598412116587486,5.440685560905517,1.6498411465877367,0.10158938303387899,-0.0580412227058708,1.024130330225444,0.5570746587699388,2.9025690357289715,1.0131918842384957,0.5505731302205931,2.687888836586312,9.4,1.7144,1.7783471924692231,0.6122815009360114,-0.8410390635872005,1.7806690898576243,0.6156288059824832,-0.8624669095621512,0.13303486261809258,0.05324799378167255,140.34,8.663483514713391,0.4161292832787925,0.1683665147699897,4.550764061209436,1.2192733594933265,0.3550543565682846,0.7798731023259108,142.3,0.0022485436893203885,0.0,18.09,0.06761024626927575,0.005822878266456277,266.38,1.4459701458000183,0.38878846140767537,5.530270490581911,0.024838349514563107
habit_p1p0_deck52_seed01,5.422109708737864,1.596179304758509,0.049470798025343876,5.738150218431132,1.5908676220334572,0.08032474635062246,-0.047532428605463084,0.9843387877016047,0.49625917910343625,1.9251055772690508,1.0288084090295906,0.5130355395601556,1.9880020548327841,13.37,2.57,1.4224070886373796,0.6731296558794615,0.039975638233049636,1.4459945424295677,0.664891609448471,0.0030747616519135254,0.133337018693175,0.05289717888232018,144.06,11.190148069378928,0.4146925468385105,0.16468099062875072,4.323809795573871,1.2327063445816082,0.38287838526566653,0.964428366594557,100.43,0.006498543689320388,0.0,17.64,0.06643907187294706,0.00686244879294619,219.31,1.2696035964344352,0.33973401924141877,4.116578133922434,0.0895621359223301
habit_p0p0_deck78_seed01,5.287923300970874,1.6264316082912764,0.06235944818567497,5.431862161514574,1.6343543996101135,0.12574764146014863,-0.043888491954394815,1.0297476375979997,0.5456004996305889,2.8220695074604736,1.0108092644039144,0.5438367467062584,2.839095292663555,6.04,1.1264,1.9087143708452474,0.5112039261052969,-1.172523746240272,1.9016409468829194,0.5179695176549783,-1.138019986906773,0.12950557554878908,0.052866322091255684,137.05,7.900573476874205,0.41609255217140717,0.17351767041440158,4.28290582216757,1.1913986590666148,0.3479503636106794,0.90506971909283,156.73,0.00095,0.0,18.16,0.06623627021793807,0.005654304562972104,289.68,1.5369952441909058,0.40890752415541465,11.118345527912641,0.010238349514563106
habit_p0p3_deck78_seed01,5.288700485436893,1.646692443495943,0.036779769395542894,5.469638496023776,1.6419237743873956,0.08946329382416963,-0.04873426387788152,1.0267842101746831,0.5501193547528995,2.893616520155249,1.0186825363387382,0.555505865883401,2.6877965319699375,7.16,1.3812,1.8663342234887388,0.5527479787823837,-1.0634338560928334,1.8668949447281347,0.551838665992559,-1.0656925863171391,0.1328937320836963,0.05301275508829443,140.58,8.176041221736732,0.4094911923829986,0.1662094836510139,4.666928721947723,1.1895920939733107,0.3445887119480479,0.8736504141831211,152.59,0.0014500000000000001,0.0,18.05,0.06465412669242508,0.005338303837012921,281.19,1.5169915134846823,0.4027958935805104,10.385769676447536,0.011144174757281553
habit_p0p5_deck78_seed01,5.416252912621359,1.630352534136861,0.05509677291920703,5.58306352718678,1.6503210209583588,0.11180557945787639,-0.03222950069850703,1.0178694479849542,0.5411140366924126,2.8937983751237972,1.0146611725243677,0.5266808437149798,2.704529548441383,8.83,1.64,1.806188575343796,0.5960251212698614,-0.91252852446779,1.8075371353475804,0.5900172787497102,-0.8888792027498928,0.12641164747520228,0.05230025926590832,136.76,8.580265480775415,0.41514437112269026,0.17111381804726078,4.059044007457376,1.197796553598978,0.35250956240594805,0.9752502189186885,144.94,0.00245,0.0,18.19,0.06458534520563697,0.006187623290153655,277.45,1.4729196367264314,0.39151698595517276,5.560755913668655,0.024344174757281553
habit_p1p0_deck78_seed01,5.293125728155339,1.6017721517250816,-0.03954227686060442,5.629206055169898,1.5976495597967293,0.040210812698013916,-0.029903687962283883,0.9984846362770211,0.5542066037103545,2.5965648128290746,1.0356565946877734,0.6020342994949777,2.335594870841439,13.41,2.5852,1.4183740603483224,0.675114301958981,0.041047868031589545,1.4375218998218016,0.6711671422930072,0.006048534301186401,0.14064136804281824,0.05313283178475002,148.41,11.120115352903928,0.4065508111974808,0.17633360261988965,4.404695347513401,1.2178640852708096,0.36581003484623276,0.9019710273041004,100.03,0.006448543689320388,0.0,17.84,0.0661726379110771,0.005778418307955702,214.95,1.2889684558990513,0.3437460177496696,4.1105559538942344,0.08925922330097087
