config,seed,n_tokens,n_types,ttr,mean_token_len,char_entropy,cond_char_entropy,hurst
habit_03,42.0,34487,5797,0.16809232464406879,4.820367094847334,3.8544451421600887,2.4994361655185355,0.567
habit_05,42.0,34487,5587,0.1620030736219445,4.821352973584249,3.8583696267576513,2.493611991627649,0.662
habit_10,42.0,34487,2439,0.0707223011569577,4.810885261112883,3.8605868487149255,2.487717390134923,0.688
habit_control,42.0,34487,5808,0.16841128541189435,4.827123263838548,3.8557891496996484,2.500452040477774,0.493
vanilla,42.0,34756,5785,0.1664460812521579,4.823713891126712,3.8519222306125314,2.4842850801006096,0.455
currier_b,,23297,5468,0.2347083315448341,4.822294716057861,3.967656305948338,2.428882273572486,0.677
